Date,Corn Price,Wheat Price,Soybean Price,Cotton Price,Live Cattle,Soy Oil,Crush Margin,Soybean meal
2/11/10,363.25,493.5,943,72.92,89.4,34.64,0.87,298.4
2/12/10,361.5,486.5,945,74.39,89.375,34.34,#N/A,#N/A
2/16/10,367.25,505,965.5,75.34,90.475,35.45,#N/A,#N/A
2/17/10,360,494.75,951.5,75.17,90.825,35.25,#N/A,#N/A
2/18/10,357.25,485,948,76.97,92.175,35.2,0.8,296.1
2/19/10,360,489.75,945,78.79,92.775,35.02,#N/A,#N/A
2/22/10,371.5,501.25,961.5,80.74,92.05,35.33,#N/A,#N/A
2/23/10,367.75,491.75,952.5,80,91.75,34.81,#N/A,#N/A
2/24/10,375.25,500.25,955.5,79.37,91.775,35.8,#N/A,#N/A
2/25/10,372.25,489.75,941.5,81.38,91.9,35.28,0.74,289.6
2/26/10,378,506.5,951,82.61,90.3,36.04,#N/A,#N/A
3/1/10,370.75,492.75,952.5,83.44,91.725,36.25,#N/A,#N/A
3/2/10,370.5,492,954.25,81.9,92.775,36.56,#N/A,#N/A
3/3/10,375.75,503.5,954.5,83.19,92.9,36.77,#N/A,#N/A
3/4/10,372,490.5,932.5,82.12,93.025,36.38,0.51,270.9
3/5/10,364.75,482.25,934.75,82.53,92.95,36.47,#N/A,#N/A
3/8/10,364.5,484.5,940.5,82.15,94.2,36.7,#N/A,#N/A
3/9/10,358.75,478.5,941.5,79.73,94.4,36.72,#N/A,#N/A
3/10/10,355.5,470.75,952,80.21,93.875,37.77,#N/A,#N/A
3/11/10,355.5,468.5,925.5,78.77,93.825,36.86,0.57,264.6
3/12/10,354,472.25,926,80.47,95.1,36.3,#N/A,#N/A
3/15/10,363.25,479.25,930,80.76,95.65,35.5,#N/A,#N/A
3/16/10,366.75,487,945,81.84,95.475,36.12,#N/A,#N/A
3/17/10,374,496,959,81.17,96.15,36.71,#N/A,#N/A
3/18/10,376,489.25,959.5,82.21,97.525,36.13,0.56,280.9
3/19/10,374.5,483.75,961.75,82.18,97.975,36.3,#N/A,#N/A
3/22/10,370.75,486.5,968.5,82.49,97.1,36.72,#N/A,#N/A
3/23/10,362.75,476.75,968,82.89,95.7,36.54,#N/A,#N/A
3/24/10,365,476,960,81.41,95.725,36.21,#N/A,#N/A
3/25/10,355,466.5,942.5,80.18,94.75,35.95,0.65,278.4
3/26/10,356.25,464.75,952,79.69,94.025,36.2,#N/A,#N/A
3/29/10,357,464.75,967.5,80.43,95.375,36.52,#N/A,#N/A
3/30/10,354.5,472,974,79.54,96.05,35.82,#N/A,#N/A
3/31/10,345,450.5,941,80.55,96.55,35.56,#N/A,#N/A
4/1/10,344.5,454.75,942,81.5,96.65,36.36,0.63,276.4
4/5/10,345.75,453.5,936,82.28,97.325,36.85,#N/A,#N/A
4/6/10,346.5,463.5,944.5,82.29,97.25,37.27,#N/A,#N/A
4/7/10,356.5,475.25,952.5,80.98,99.45,37.66,#N/A,#N/A
4/8/10,348.25,469.25,946.5,78.6,99.35,37.55,0.7,274.6
4/9/10,345.75,465.75,952.25,78.07,99.65,37.67,#N/A,#N/A
4/12/10,348.25,467.75,960,78.13,99,37.44,#N/A,#N/A
4/13/10,352.5,476,968,80.03,98.325,37.59,#N/A,#N/A
4/14/10,358,474.75,969,79.5,97.125,37.71,#N/A,#N/A
4/15/10,363.25,480.25,984,80.5,98,37.92,0.79,294.9
4/16/10,364,490.5,985.25,80.01,98.75,37.65,#N/A,#N/A
4/19/10,347.75,467.75,976.75,79.85,98.95,36.78,#N/A,#N/A
4/20/10,355.5,486,984,82.85,98.675,36.92,#N/A,#N/A
4/21/10,359.25,487.25,995.5,83.04,99.6,36.75,#N/A,#N/A
4/22/10,362.25,498.5,1004.25,82.42,99.75,36.89,0.73,307.6
4/23/10,353,493.25,1000,84.26,99.225,37.15,#N/A,#N/A
4/26/10,352.25,476,998.75,84.02,99.525,37.09,#N/A,#N/A
4/27/10,347.5,478.25,982.75,83.05,98.05,36.92,#N/A,#N/A
4/28/10,357,476.25,982.75,83.63,98.05,36.29,#N/A,#N/A
4/29/10,360.5,484.5,985.75,81.65,98.975,36.55,#N/A,#N/A
4/30/10,366.25,491.75,989.5,82.76,99.925,36.33,#N/A,#N/A
5/3/10,362.75,490,975.75,81.86,95.525,36.4,#N/A,#N/A
5/4/10,360,499.75,977,79.59,96.025,36.11,#N/A,#N/A
5/5/10,364.75,501,968.25,80.38,96.7,36.68,#N/A,#N/A
5/6/10,364,497.25,945.5,78.25,95.85,35.87,0.77,287.4
5/7/10,364.75,500.25,951.25,80.71,95.9,36.19,#N/A,#N/A
5/10/10,363,482.5,952.75,81.04,96.7,36.14,#N/A,#N/A
5/11/10,369.75,483.75,958.25,80.53,96.8,36.07,#N/A,#N/A
5/12/10,371.75,482.75,959.5,80.37,95.7,36.18,#N/A,#N/A
5/13/10,366.5,471,960.5,80.76,95.575,35.8,0.73,291.9
5/14/10,356.75,463.5,948,80.72,93.25,35.26,#N/A,#N/A
5/17/10,356,469,941,81.2,92.5,34.88,#N/A,#N/A
5/18/10,359.75,467.75,939.5,82.2,92.75,34.94,#N/A,#N/A
5/19/10,359.25,469.25,938.5,83.28,92.425,34.75,#N/A,#N/A
5/20/10,362,469.75,944,82.09,91.45,34.64,0.63,286.2
5/21/10,369,472,941,82.97,91.375,34.21,#N/A,#N/A
5/24/10,371,467.5,940.5,82.25,91.125,34.77,#N/A,#N/A
5/25/10,364.25,460.5,930.5,82.07,90.025,34.42,#N/A,#N/A
5/26/10,371.5,461.75,938,81.84,90.8,34.85,#N/A,#N/A
5/27/10,373.25,467.75,951.75,81.28,91.575,35.26,0.57,289
5/28/10,359,457.75,937.75,80.05,90.525,34.69,#N/A,#N/A
6/1/10,354,450.75,932,79.07,90.8,34.6,#N/A,#N/A
6/2/10,348.5,442.5,932.5,78.4,92.05,34.5,#N/A,#N/A
6/3/10,349.5,441.75,955,78.21,92.1,34.74,0.7,301
6/4/10,340,435.75,935,77.06,90.95,33.86,#N/A,#N/A
6/7/10,335.75,432.25,935,77.22,89.8,33.55,#N/A,#N/A
6/8/10,337.25,432.25,931,78.32,89.95,33.75,#N/A,#N/A
6/9/10,338.25,428,943.5,81.32,89.65,33.95,#N/A,#N/A
6/10/10,343.25,433.25,935,82.51,90.075,33.95,0.85,304.8
6/11/10,349.5,440.75,946.25,81.54,89.5,34.1,#N/A,#N/A
6/14/10,353.75,451.5,951.5,82.56,89.775,34.59,#N/A,#N/A
6/15/10,353.75,451.75,949.5,81.97,90.05,35.01,#N/A,#N/A
6/16/10,356.25,461.25,957.75,81.77,90.05,35.46,#N/A,#N/A
6/17/10,357.5,462.75,952,80.8,89.6,35.38,0.85,304.8
6/18/10,360.75,461.75,961,81.78,89.3,35.25,#N/A,#N/A
6/21/10,355,462,963.25,82.15,90.125,35.38,#N/A,#N/A
6/22/10,351.5,460.75,965.5,82.46,90.3,35.26,#N/A,#N/A
6/23/10,346.5,462.25,958,84.45,90.25,34.92,#N/A,#N/A
6/24/10,344.75,463,955.5,84.48,90.65,34.5,0.76,308.6
6/25/10,340.5,456.25,957,84.72,90.95,34.49,#N/A,#N/A
6/28/10,333.75,449.5,955,84.49,91.2,34.27,#N/A,#N/A
6/29/10,325,442,947.25,83.68,90.675,33.26,#N/A,#N/A
6/30/10,354.25,464.75,948.5,82.6,91.25,33.61,#N/A,#N/A
7/1/10,365.5,484,953.5,81.22,89.95,33.12,0.82,312
7/2/10,364,487.75,962.75,81.64,89.475,33.26,#N/A,#N/A
7/6/10,360,492.75,964.25,81.6,89.8,33.09,#N/A,#N/A
7/7/10,370.75,515.75,993,82.71,90.5,33.94,#N/A,#N/A
7/8/10,377.5,534,1012.5,81.85,90.9,33.99,0.73,327.9
7/9/10,375.25,523.5,1025.5,78.15,90.2,34.51,#N/A,#N/A
7/12/10,371.25,521.25,1031.75,77.16,90.075,34.63,#N/A,#N/A
7/13/10,366.75,535.75,1030.5,78.14,90.95,35.05,#N/A,#N/A
7/14/10,375.25,548.25,1036,77.25,92.325,35.24,#N/A,#N/A
7/15/10,392.5,596.25,1019,78.52,92.4,35.72,0.7,333.6
7/16/10,394.75,587.25,1019.5,79.96,92.275,35.44,#N/A,#N/A
7/19/10,381.5,582.25,1008,78.77,93.125,35.09,#N/A,#N/A
7/20/10,374,577,1011.75,77.78,93.125,35.45,#N/A,#N/A
7/21/10,379.75,588.25,1015.25,78.77,93.5,35.31,#N/A,#N/A
7/22/10,376.5,596.5,1016,79.57,93.325,35.95,0.64,325.2
7/23/10,371.25,596.25,1017,80.32,93.425,36.12,#N/A,#N/A
7/26/10,364,589.5,998.25,81.22,92.65,35.85,#N/A,#N/A
7/27/10,362.75,595,998,81.45,92.65,35.61,#N/A,#N/A
7/28/10,376.25,615.5,1010.5,80.57,92.775,35.89,#N/A,#N/A
7/29/10,379.25,627.5,1026.75,80.68,91.85,36.32,0.76,329.9
7/30/10,392.75,661.5,1052.5,82.36,92.65,36.88,#N/A,#N/A
8/2/10,390.5,693.25,1053.25,83.85,92.175,37.49,#N/A,#N/A
8/3/10,389.5,680,1053.5,84.51,91.875,38,#N/A,#N/A
8/4/10,400.25,725.75,1053,84,93.15,38.29,#N/A,#N/A
8/5/10,403.5,785.75,1055,84.2,92.9,38.26,0.73,338.1
8/6/10,405,725.75,1059,84.4,92.775,38.32,#N/A,#N/A
8/9/10,403,712.5,1048.5,84.17,93.1,38.65,#N/A,#N/A
8/10/10,393.5,694.75,1036.25,84.38,93.4,38.39,#N/A,#N/A
8/11/10,395.5,694.75,1044.5,84.22,93.95,38.7,#N/A,#N/A
8/12/10,406.25,713,1057,86.75,94.2,38.14,0.66,328.9
8/13/10,411.75,702.5,1052,87.49,94.325,39.45,#N/A,#N/A
8/16/10,407.25,663.75,1034,87.43,95.125,38.38,#N/A,#N/A
8/17/10,414.75,651,1045.25,87.73,95.625,38.52,#N/A,#N/A
8/18/10,418.5,656,1035.25,87.42,97.2,37.74,#N/A,#N/A
8/19/10,414.25,681.25,1016.75,87.98,99.175,36.77,0.9,330
8/20/10,421.25,679,1009.25,87.15,99.6,36.4,#N/A,#N/A
8/23/10,417.25,692.25,1007,87.65,99.725,36.13,#N/A,#N/A
8/24/10,405.25,674.75,999.5,88.42,99.475,36.36,#N/A,#N/A
8/25/10,404.75,647.75,1000,88.15,98.6,36.02,#N/A,#N/A
8/26/10,416.5,656.5,1013,89.24,98.425,36.37,0.88,333.3
8/27/10,421,662.5,1022,89.03,98.05,37.08,#N/A,#N/A
8/30/10,425.5,671.25,1018,89.37,97.25,36.83,#N/A,#N/A
8/31/10,424.5,652.5,1008,89.08,97.25,36.36,#N/A,#N/A
9/1/10,432.25,675.5,1004.5,90.13,97.75,36.6,#N/A,#N/A
9/2/10,433,680.75,1007.5,90.87,98.45,36.66,1.01,329.2
9/3/10,449.75,708.25,1029.75,90.95,98.45,37.32,#N/A,#N/A
9/7/10,451.5,702.5,1043.75,91.32,96.35,38.26,#N/A,#N/A
9/8/10,447.5,678.75,1041.25,90.57,97.25,38.09,#N/A,#N/A
9/9/10,456.25,706.75,1037.75,90.37,96.9,38.07,0.88,327
9/10/10,464,704.75,1023.5,90.87,97.15,38.24,#N/A,#N/A
9/13/10,469.25,713.75,1025.25,91.8,97.45,38.3,#N/A,#N/A
9/14/10,478,704.5,1025,93.79,98.2,38.26,#N/A,#N/A
9/15/10,495.25,726.75,1042.5,92.81,98.125,38.64,#N/A,#N/A
9/16/10,496,719.25,1036.25,94.93,98.7,38.39,0.68,305.1
9/17/10,513.25,739.25,1069,97.61,99.4,38.94,#N/A,#N/A
9/20/10,508.25,731.75,1084.5,100.37,98.15,39.68,#N/A,#N/A
9/21/10,505.25,718,1080,101.69,97.5,39.45,#N/A,#N/A
9/22/10,505,719.75,1088.5,100.37,96.175,39.95,#N/A,#N/A
9/23/10,499.25,697.25,1093.5,97.77,96.125,40.59,0.44,309
9/24/10,521.75,720,1126,101.3,96.025,41.56,#N/A,#N/A
9/27/10,512.75,706.5,1128.5,105.93,97.25,41.73,#N/A,#N/A
9/28/10,500,684.75,1110,108.14,97.15,41.71,#N/A,#N/A
9/29/10,505,683.5,1099,103.19,96.225,41.21,#N/A,#N/A
9/30/10,495.75,674,1106.75,104.18,96.7,41.85,0.39,302.9
10/1/10,465.75,655,1057,99.97,95.95,40.64,#N/A,#N/A
10/4/10,471.5,647.25,1054,99.78,95.1,40.18,#N/A,#N/A
10/5/10,491,663.5,1071.75,101.43,95.55,40.62,#N/A,#N/A
10/6/10,488.5,658.25,1062,102.66,94.85,40.83,#N/A,#N/A
10/7/10,498.25,659.25,1065,106.66,95.125,41.17,0.54,293.7
10/8/10,528.25,719.25,1135,107.17,95.55,43.67,#N/A,#N/A
10/11/10,555.75,709.25,1152.5,110.5,95.35,43.4,#N/A,#N/A
10/12/10,579,710,1178.5,109.58,96.625,44,#N/A,#N/A
10/13/10,569.25,702.75,1176.5,110.87,96.35,44.58,#N/A,#N/A
10/14/10,567.25,700.75,1188.5,114.87,96.075,45.02,0.54,331.2
10/15/10,563,704.5,1185,109.87,98.15,44.77,#N/A,#N/A
10/18/10,557.25,690,1184,113.37,99.075,44.66,#N/A,#N/A
10/19/10,546,671.5,1180,110.26,99.675,44.1,#N/A,#N/A
10/20/10,573.5,683,1212,114.26,101.275,45.47,#N/A,#N/A
10/21/10,564.25,668.75,1201.5,115.71,101.525,45.12,0.42,332.9
10/22/10,560,670.75,1199.5,119.71,102.2,45.05,#N/A,#N/A
10/25/10,568.75,674,1217.75,124.71,101.4,46.22,#N/A,#N/A
10/26/10,571,692,1219,129.59,100.85,46.28,#N/A,#N/A
10/27/10,577.25,702.75,1223.75,123.59,100.5,46.3,#N/A,#N/A
10/28/10,579,718.25,1225,121.68,100.7,46.45,0.4,336.3
10/29/10,582,717.25,1226,125.26,98.85,46,#N/A,#N/A
11/1/10,577.25,702.5,1225.25,129.26,98.15,46.45,#N/A,#N/A
11/2/10,575.75,694.25,1223.75,134.26,98.25,46.33,#N/A,#N/A
11/3/10,581,690.25,1227.5,135.52,97.7,46.55,#N/A,#N/A
11/4/10,590,713.75,1264.75,140.45,97.65,47.9,0.26,348.2
11/5/10,587.75,728.75,1273.5,142.23,97.55,48.87,#N/A,#N/A
11/8/10,585.25,736.25,1264.5,146.23,98.4,48.66,#N/A,#N/A
11/9/10,576.25,721.75,1319.25,151.23,98.2,50.05,#N/A,#N/A
11/10/10,566.75,710,1309.5,145.65,99.4,50.6,#N/A,#N/A
11/11/10,564,704,1330.25,144.21,99.05,51.68,0.25,358.6
11/12/10,534,669.25,1263,140.18,98.4,49.18,#N/A,#N/A
11/15/10,555.5,672.75,1286.5,138.75,99.225,49.12,#N/A,#N/A
11/16/10,526.5,626.25,1219.75,133.75,98.45,46.62,#N/A,#N/A
11/17/10,525.75,632.5,1205,128.9,99.35,45.54,#N/A,#N/A
11/18/10,541.75,645.25,1242,133.9,100.8,47.52,0.19,335
11/19/10,520.75,644.5,1201.5,127.9,101.45,45.56,#N/A,#N/A
11/22/10,515.25,645.5,1221.5,121.9,100.925,45.78,#N/A,#N/A
11/23/10,528.5,642,1239,113.09,101.55,45.82,#N/A,#N/A
11/24/10,538.75,647.5,1255,119.39,101.925,46.74,#N/A,#N/A
11/26/10,538.25,648.25,1238.5,116.06,102.225,46.74,#N/A,#N/A
11/29/10,538.25,650.25,1235,122.51,102.025,46.37,#N/A,#N/A
11/30/10,530,650.25,1243,126.23,103.075,47.15,#N/A,#N/A
12/1/10,551.75,697.5,1283,131.95,103.575,49,#N/A,#N/A
12/2/10,540.75,706.5,1279.75,137.34,103.075,49.22,0.31,346.7
12/3/10,559,738,1300.25,142.33,103.175,49.83,#N/A,#N/A
12/6/10,553.75,752,1288.5,141.92,103.375,49.88,#N/A,#N/A
12/7/10,547.25,743,1285.5,137.99,102.275,50.14,#N/A,#N/A
12/8/10,559.5,742,1296,138,102.1,50.81,#N/A,#N/A
12/9/10,560.25,748.25,1281.5,135.95,101.8,50.78,0.38,341.7
12/10/10,560.25,735.5,1273,136.97,100.95,50.79,#N/A,#N/A
12/13/10,575.25,740.25,1302.5,140.97,101.95,52.08,#N/A,#N/A
12/14/10,574.5,721,1296,144.49,101.825,51.72,#N/A,#N/A
12/15/10,584.25,764.75,1296.5,142.14,101.6,50.93,#N/A,#N/A
12/16/10,587.5,749.75,1289,146.12,101.2,50.8,0.37,344.8
12/17/10,596.5,756.75,1298.75,150.12,102.175,50.86,#N/A,#N/A
12/20/10,599.5,769.5,1315.25,154.12,102.775,51.71,#N/A,#N/A
12/21/10,602.25,765,1326.25,159.12,102.85,52.29,#N/A,#N/A
12/22/10,609,783.5,1328.75,154.12,104.125,52.8,#N/A,#N/A
12/23/10,614,783,1349.5,148.12,104,53.42,0.44,361
12/27/10,615.25,780.25,1373,145.76,104.9,53.98,#N/A,#N/A
12/28/10,623.25,798.25,1375.75,144.35,105.45,53.65,#N/A,#N/A
12/29/10,624,799.25,1366,140.43,106.325,53.38,#N/A,#N/A
12/30/10,616,784.75,1366,142.84,107,53.61,0.46,368.4
12/31/10,629,794.25,1393.75,144.81,107.9,53.61,#N/A,#N/A
1/3/11,620.5,805.5,1370.25,142.2,106.975,53.97,#N/A,#N/A
1/4/11,608.5,789.25,1361,143.78,106.175,53.21,#N/A,#N/A
1/5/11,619.25,808.25,1386,145.2,106.625,54.39,#N/A,#N/A
1/6/11,602,789,1369.5,141.22,106.725,54.04,0.61,365.1
1/7/11,595,774,1357.75,140.6,106.375,53.45,#N/A,#N/A
1/10/11,607,767.25,1373.25,143.25,106.95,53.76,#N/A,#N/A
1/11/11,607,759.5,1350.5,147.25,108.45,53.24,#N/A,#N/A
1/12/11,631,770.5,1409,147.97,110.2,54.5,#N/A,#N/A
1/13/11,642.5,783.5,1410,144.06,109.9,54.34,0.55,376.6
1/14/11,648.75,773.25,1406.5,141.44,109.375,53.9,#N/A,#N/A
1/18/11,659.5,793.25,1413.25,145.44,109.2,54.18,#N/A,#N/A
1/19/11,641.25,797.25,1411.5,148.94,108.8,54.27,#N/A,#N/A
1/20/11,654,803.5,1414.25,152.94,108.65,53.84,0.51,374.8
1/21/11,657.25,824.5,1412.25,156.94,107.95,54.14,#N/A,#N/A
1/24/11,655.25,835.25,1404.5,161.94,106.775,53.76,#N/A,#N/A
1/25/11,644,838.25,1374.5,161.83,106.25,52.36,#N/A,#N/A
1/26/11,657.75,856.5,1385.5,166.83,107.225,53.28,#N/A,#N/A
1/27/11,650.75,846.25,1399.5,169.39,106.95,53.99,0.42,365.9
1/28/11,644,825.75,1398,164.75,107.5,53.85,#N/A,#N/A
1/31/11,659.5,840.75,1413,168.44,108.95,54.46,#N/A,#N/A
2/1/11,666,835.75,1438,172.22,109,55.3,#N/A,#N/A
2/2/11,669.25,863,1444,176.22,107.75,55.83,#N/A,#N/A
2/3/11,662.5,859,1435.5,171.86,108.2,55.46,0.31,370.9
2/4/11,678.5,853.75,1433.5,167.86,108.25,55.66,#N/A,#N/A
2/7/11,674.75,858.75,1424.5,174.51,107.725,55.09,#N/A,#N/A
2/8/11,673.75,874.25,1434.25,175.29,107.65,55.45,#N/A,#N/A
2/9/11,698,886,1451,180.58,107.725,56.42,#N/A,#N/A
2/10/11,698.5,862.75,1433,187.58,108.9,55.72,0.3,369
2/11/11,706.5,867,1416,189.97,107.775,55.17,#N/A,#N/A
2/14/11,695.75,872,1402.75,186.05,109.2,54.37,#N/A,#N/A
2/15/11,690.5,840.25,1368,190.02,109.05,53.22,#N/A,#N/A
2/16/11,690.5,837,1366,197.02,109,53.34,#N/A,#N/A
2/17/11,712.75,850.75,1404.5,204.02,110.275,54.98,0.3,359.7
2/18/11,709.75,822.25,1368,197.02,111.05,53.17,#N/A,#N/A
2/22/11,679.75,762.25,1298,187.94,110.1,50.72,#N/A,#N/A
2/23/11,691.5,763,1320,186.56,110.325,51.75,#N/A,#N/A
2/24/11,685.75,747.25,1318.25,181.28,111.1,51.34,0.26,338.4
2/25/11,712,776.5,1365.5,191.34,112.025,53.68,#N/A,#N/A
2/28/11,722.5,782.5,1357.25,205.14,110.25,53.5,#N/A,#N/A
3/1/11,727.25,775.75,1367.5,195.87,111.4,53.8,#N/A,#N/A
3/2/11,714,776.75,1387.25,204.45,112.2,55.93,#N/A,#N/A
3/3/11,729.75,790.5,1405.5,208.2,114.2,55.87,0.35,359
3/4/11,721.25,800.5,1407.75,215.15,114.05,56.61,#N/A,#N/A
3/7/11,710.75,769,1387.75,214.5,113.6,56.2,#N/A,#N/A
3/8/11,698.75,751.25,1375.5,207.04,114.8,55.58,#N/A,#N/A
3/9/11,695,732.25,1344,205.99,117.525,54.25,#N/A,#N/A
3/10/11,676.25,714,1348.75,200.98,117.65,54.06,0.27,339.2
3/11/11,659.25,695,1326.5,204.94,117.125,53.03,#N/A,#N/A
3/14/11,664,700.5,1329,197.94,116.5,52.51,#N/A,#N/A
3/15/11,636,667.75,1270,190.94,113.5,50.01,#N/A,#N/A
3/16/11,616.5,662,1287,185.12,110.5,49.96,#N/A,#N/A
3/17/11,646.5,710.25,1335.25,192.12,111.6,51.52,0.33,347.1
3/18/11,683.5,723,1362.5,199.12,111.65,52.77,#N/A,#N/A
3/21/11,686.5,721,1363,198.96,113.6,53.31,#N/A,#N/A
3/22/11,686.75,722.25,1365.5,205.96,114.275,53.29,#N/A,#N/A
3/23/11,681,714.25,1351.25,201.87,114.1,53.36,#N/A,#N/A
3/24/11,702.5,739.5,1354.5,208.82,115.825,54.25,0.31,343.8
3/25/11,689.5,733.25,1358.25,204.49,118.6,54.97,#N/A,#N/A
3/28/11,671,725.25,1348.5,197.49,117.95,54.66,#N/A,#N/A
3/29/11,671.75,737.25,1361.5,194.88,118.375,55.15,#N/A,#N/A
3/30/11,663.25,727.25,1372,193.67,120.55,55.62,#N/A,#N/A
3/31/11,693.25,763.25,1410.25,200.23,121.55,57.08,0.38,354.7
4/1/11,736,759.5,1393.75,195.55,122.075,56.98,#N/A,#N/A
4/4/11,760.25,790,1384,195.55,122.375,57.18,#N/A,#N/A
4/5/11,766.75,786.25,1373.25,201.06,121.75,57.15,#N/A,#N/A
4/6/11,763,782.25,1376.5,208.06,120.875,#N/A,#N/A,#N/A
4/7/11,759,773.25,1363.5,208.22,119.9,56.87,0.36,333.9
4/8/11,768,797.5,1392.25,202.97,118.825,58.4,#N/A,#N/A
4/11/11,776,798.25,1368.5,204.58,119.025,57.45,#N/A,#N/A
4/12/11,752.5,759.5,1329.75,199.73,117.675,55.87,#N/A,#N/A
4/13/11,755.5,752.75,1333.5,197.35,118.275,56.01,#N/A,#N/A
4/14/11,754.25,740.5,1331,196.04,118.8,55.52,0.32,324.5
4/15/11,742,744.25,1331.75,195.52,117.4,55.49,#N/A,#N/A
4/18/11,751.75,775,1344.25,196.45,118.175,56.04,#N/A,#N/A
4/19/11,749,785.75,1342,189.82,119.25,56.18,#N/A,#N/A
4/20/11,732.75,785,1357.75,183.17,119,56.79,#N/A,#N/A
4/21/11,737.25,799.5,1380.5,186.67,118.4,56.92,0.31,342.3
4/25/11,762.5,826,1389.5,188.08,116.025,56.86,#N/A,#N/A
4/26/11,766.25,811.25,1382.75,181.84,116.025,56.7,#N/A,#N/A
4/27/11,752.25,777,1378,174.89,117.275,56.64,#N/A,#N/A
4/28/11,723,743,1350.25,172.82,117.15,55.33,0.16,333.2
4/29/11,754,769.25,1392.75,178.78,117.05,57.26,#N/A,#N/A
5/2/11,730.75,759.75,1390.25,175.91,111.95,57.32,#N/A,#N/A
5/3/11,719,760.75,1359.25,179.21,110.6,56.4,#N/A,#N/A
5/4/11,726.5,741,1350.5,173.19,110.55,56.07,#N/A,#N/A
5/5/11,705,722.5,1319.75,165.36,109.75,54.73,0.46,335.7
5/6/11,682.75,724.5,1325,153.8,109.85,54.69,#N/A,#N/A
5/9/11,704.5,759.25,1335,145.4,109,55.29,#N/A,#N/A
5/10/11,706,769,1340,151.4,109.175,55.8,#N/A,#N/A
5/11/11,668.75,727.75,1333.5,150.3,109.05,55.3,#N/A,#N/A
5/12/11,681.25,700.5,1345.25,144.3,109.85,55.46,0.42,341.3
5/13/11,679,696,1337,145.15,109,55.14,#N/A,#N/A
5/16/11,697.5,736.5,1326.5,151.15,108.325,54.91,#N/A,#N/A
5/17/11,720.25,764,1341,155.04,107.75,55.04,#N/A,#N/A
5/18/11,749.75,817,1379.5,159.86,106.25,56.3,#N/A,#N/A
5/19/11,748.25,812,1379.5,155.65,104.85,56.46,0.32,349.4
5/20/11,759.5,806.5,1380.25,155.61,104.975,56.46,#N/A,#N/A
5/23/11,754,803,1373.75,153.89,102.15,56.22,#N/A,#N/A
5/24/11,733.25,779.75,1372.25,153.88,102.375,56.48,#N/A,#N/A
5/25/11,742.25,796.5,1377,156.03,104.55,56.96,#N/A,#N/A
5/26/11,745.5,814.5,1384.75,151.03,104.025,57.7,0.44,350.3
5/27/11,758.5,819.75,1379.75,152.67,104.1,57.61,#N/A,#N/A
5/31/11,747.5,782.25,1376,158.67,103.75,57.49,#N/A,#N/A
6/1/11,758.5,759.25,1386.25,160.97,102.15,57.43,#N/A,#N/A
6/2/11,766.5,769.75,1407,164.24,102.6,57.91,0.39,356
6/3/11,754,773.75,1414.5,161.63,104.175,57.66,#N/A,#N/A
6/6/11,732,744,1383.25,155.63,102.4,56.96,#N/A,#N/A
6/7/11,736.5,733.75,1394,148.63,103.475,56.86,#N/A,#N/A
6/8/11,764,748,1401.5,145.05,104,56.87,#N/A,#N/A
6/9/11,785.5,745,1393.75,151.05,104.625,56.33,0.42,362.4
6/10/11,787,759.25,1387.25,150.03,102.725,55.78,#N/A,#N/A
