Year,State,Commodity,Data Item,Number of Acres
2020,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",158
2020,ALABAMA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",790
2020,ALABAMA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","3,500"
2020,ALABAMA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41
2020,ALABAMA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",72
2020,ALASKA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",43
2020,ARIZONA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",122
2020,ARIZONA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",202
2020,ARIZONA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE","1,171"
2020,ARIZONA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",99
2020,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184
2020,ARKANSAS,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE","1,179"
2020,ARKANSAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",64
2020,ARKANSAS,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","4,800"
2020,ARKANSAS,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","7,500"
2020,ARKANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
2020,ARKANSAS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",55
2020,CALIFORNIA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",47
2020,CALIFORNIA,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,400"
2020,CALIFORNIA,CHICKPEAS,"CHICKPEAS - YIELD, MEASURED IN LB / ACRE","2,700"
2020,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187
2020,CALIFORNIA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE","1,645"
2020,CALIFORNIA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",6.02
2020,CALIFORNIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",75
2020,CALIFORNIA,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","8,720"
2020,CALIFORNIA,SAFFLOWER,"SAFFLOWER - YIELD, MEASURED IN LB / ACRE","2,350"
2020,CALIFORNIA,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",45.5
2020,CALIFORNIA,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,297"
2020,CALIFORNIA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",77.4
2020,COLORADO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",145
2020,COLORADO,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,060"
2020,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116
2020,COLORADO,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",14.5
2020,COLORADO,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",20
2020,COLORADO,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",31.3
2020,COLORADO,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE",941
2020,COLORADO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",27
2020,DELAWARE,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",84
2020,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160
2020,DELAWARE,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49
2020,DELAWARE,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",73
2020,FLORIDA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138
2020,FLORIDA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",532
2020,FLORIDA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","3,400"
2020,FLORIDA,SUGARCANE,"SUGARCANE, SUGAR & SEED - YIELD, MEASURED IN TONS / ACRE",44.4
2020,GEORGIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",180
2020,GEORGIA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",887
2020,GEORGIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",54
2020,GEORGIA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","4,100"
2020,GEORGIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41
2020,GEORGIA,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","2,440"
2020,GEORGIA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",55
2020,IDAHO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",110
2020,IDAHO,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,410"
2020,IDAHO,CHICKPEAS,"CHICKPEAS - YIELD, MEASURED IN LB / ACRE","1,510"
2020,IDAHO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",199
2020,IDAHO,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",4.35
2020,IDAHO,HOPS,"HOPS - YIELD, MEASURED IN LB / ACRE","1,855"
2020,IDAHO,LENTILS,"LENTILS - YIELD, MEASURED IN LB / ACRE","1,300"
2020,IDAHO,MINT,"MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE",120
2020,IDAHO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",102
2020,IDAHO,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","2,500"
2020,IDAHO,SAFFLOWER,"SAFFLOWER - YIELD, MEASURED IN LB / ACRE",880
2020,IDAHO,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",40.5
2020,IDAHO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",96.7
2020,ILLINOIS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192
2020,ILLINOIS,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",3.19
2020,ILLINOIS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",58
2020,ILLINOIS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59
2020,ILLINOIS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",68
2020,INDIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187
2020,INDIANA,MINT,"MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE",44
2020,INDIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58
2020,INDIANA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",70
2020,IOWA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178
2020,IOWA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",3.27
2020,IOWA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",78
2020,IOWA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2020,KANSAS,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",51
2020,KANSAS,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,790"
2020,KANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",134
2020,KANSAS,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",783
2020,KANSAS,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.33
2020,KANSAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",52
2020,KANSAS,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",85
2020,KANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40.5
2020,KANSAS,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,465"
2020,KANSAS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",45
2020,KENTUCKY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184
2020,KENTUCKY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55
2020,KENTUCKY,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","2,086"
2020,KENTUCKY,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",63
2020,LOUISIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181
2020,LOUISIANA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",986
2020,LOUISIANA,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","6,820"
2020,LOUISIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2020,LOUISIANA,SUGARCANE,"SUGARCANE, SUGAR & SEED - YIELD, MEASURED IN TONS / ACRE",33.1
2020,MAINE,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",54
2020,MAINE,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.299
2020,MAINE,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",63
2020,MARYLAND,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",73
2020,MARYLAND,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155
2020,MARYLAND,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47
2020,MARYLAND,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",73
2020,MICHIGAN,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",56
2020,MICHIGAN,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,340"
2020,MICHIGAN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",154
2020,MICHIGAN,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",3.16
2020,MICHIGAN,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.298
2020,MICHIGAN,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",55
2020,MICHIGAN,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47
2020,MICHIGAN,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",28.3
2020,MICHIGAN,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",75
2020,MINNESOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",47
2020,MINNESOTA,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,100"
2020,MINNESOTA,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,570"
2020,MINNESOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192
2020,MINNESOTA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",3.05
2020,MINNESOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",66
2020,MINNESOTA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",38
2020,MINNESOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49
2020,MINNESOTA,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",26.1
2020,MINNESOTA,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,912"
2020,MINNESOTA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",53
2020,MISSISSIPPI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",180
2020,MISSISSIPPI,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE","1,079"
2020,MISSISSIPPI,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","4,400"
2020,MISSISSIPPI,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","7,420"
2020,MISSISSIPPI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54
2020,MISSISSIPPI,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",48
2020,MISSOURI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171
2020,MISSOURI,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE","1,144"
2020,MISSOURI,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.11
2020,MISSOURI,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",43
2020,MISSOURI,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","7,250"
2020,MISSOURI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
2020,MISSOURI,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",62
2020,MONTANA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",63
2020,MONTANA,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,620"
2020,MONTANA,CHICKPEAS,"CHICKPEAS - YIELD, MEASURED IN LB / ACRE","1,470"
2020,MONTANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",109
2020,MONTANA,FLAXSEED,"FLAXSEED - YIELD, MEASURED IN BU / ACRE",16
2020,MONTANA,LENTILS,"LENTILS - YIELD, MEASURED IN LB / ACRE","1,480"
2020,MONTANA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",45
2020,MONTANA,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","2,070"
2020,MONTANA,SAFFLOWER,"SAFFLOWER - YIELD, MEASURED IN LB / ACRE",930
2020,MONTANA,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",31.3
2020,MONTANA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",41.7
2020,NEBRASKA,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","2,270"
2020,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181
2020,NEBRASKA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.36
2020,NEBRASKA,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",24
2020,NEBRASKA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",63
2020,NEBRASKA,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","1,400"
2020,NEBRASKA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",91
2020,NEBRASKA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57
2020,NEBRASKA,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",31
2020,NEBRASKA,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,129"
2020,NEBRASKA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",41
2020,NEW HAMPSHIRE,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.291
2020,NEW JERSEY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",156
2020,NEW JERSEY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2020,NEW JERSEY,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",67
2020,NEW MEXICO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195
2020,NEW MEXICO,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",940
2020,NEW MEXICO,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","3,000"
2020,NEW MEXICO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",28
2020,NEW YORK,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",60
2020,NEW YORK,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",157
2020,NEW YORK,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.35
2020,NEW YORK,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.287
2020,NEW YORK,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",53
2020,NEW YORK,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2020,NEW YORK,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",66
2020,NORTH CAROLINA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",77
2020,NORTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113
2020,NORTH CAROLINA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",759
2020,NORTH CAROLINA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",67
2020,NORTH CAROLINA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","4,000"
2020,NORTH CAROLINA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37
2020,NORTH CAROLINA,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","1,800"
2020,NORTH CAROLINA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",60
2020,NORTH DAKOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",63
2020,NORTH DAKOTA,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","1,630"
2020,NORTH DAKOTA,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,960"
2020,NORTH DAKOTA,CHICKPEAS,"CHICKPEAS - YIELD, MEASURED IN LB / ACRE","1,980"
2020,NORTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139
2020,NORTH DAKOTA,FLAXSEED,"FLAXSEED - YIELD, MEASURED IN BU / ACRE",21
2020,NORTH DAKOTA,LENTILS,"LENTILS - YIELD, MEASURED IN LB / ACRE","1,400"
2020,NORTH DAKOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",78
2020,NORTH DAKOTA,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","2,400"
2020,NORTH DAKOTA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",44
2020,NORTH DAKOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.5
2020,NORTH DAKOTA,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",24.9
2020,NORTH DAKOTA,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,872"
2020,NORTH DAKOTA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",47.6
2020,OHIO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171
2020,OHIO,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.69
2020,OHIO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",60
2020,OHIO,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54
2020,OHIO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",71
2020,OKLAHOMA,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,530"
2020,OKLAHOMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135
2020,OKLAHOMA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",702
2020,OKLAHOMA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",45
2020,OKLAHOMA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","4,200"
2020,OKLAHOMA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",14
2020,OKLAHOMA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",45
2020,OKLAHOMA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30
2020,OKLAHOMA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",40
2020,OREGON,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",72
2020,OREGON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",241
2020,OREGON,HOPS,"HOPS - YIELD, MEASURED IN LB / ACRE","1,755"
2020,OREGON,MINT,"MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE",96
2020,OREGON,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",100
2020,OREGON,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",40.9
2020,OREGON,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",64
2020,OTHER STATES,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",0
2020,OTHER STATES,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","1,870"
2020,OTHER STATES,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0
2020,OTHER STATES,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",53
2020,OTHER STATES,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0
2020,OTHER STATES,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE",0
2020,OTHER STATES,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",34.2
2020,OTHER STATES,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE",0
2020,OTHER STATES,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE",0
2020,PENNSYLVANIA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",76
2020,PENNSYLVANIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138
2020,PENNSYLVANIA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.73
2020,PENNSYLVANIA,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.238
2020,PENNSYLVANIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",50
2020,PENNSYLVANIA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",52
2020,PENNSYLVANIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2020,PENNSYLVANIA,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","2,444"
2020,PENNSYLVANIA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",71
2020,SOUTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132
2020,SOUTH CAROLINA,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",802
2020,SOUTH CAROLINA,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","3,400"
2020,SOUTH CAROLINA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35
2020,SOUTH CAROLINA,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","1,400"
2020,SOUTH CAROLINA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",51
2020,SOUTH DAKOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",44
2020,SOUTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",162
2020,SOUTH DAKOTA,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",1.79
2020,SOUTH DAKOTA,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",35
2020,SOUTH DAKOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",77
2020,SOUTH DAKOTA,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","1,600"
2020,SOUTH DAKOTA,SAFFLOWER,"SAFFLOWER - YIELD, MEASURED IN LB / ACRE","1,250"
